➜  ~ launchctl list
PID	Status	Label
1380	0	com.apple.weatherd
955	0	com.apple.cache_delete
1282	0	com.apple.FolderActionsDispatcher
-	0	com.apple.symptomsd-diag.agent
1180	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
-	0	com.apple.CallHistorySyncHelper
1309	0	com.apple.colorsync.useragent
1417	0	com.apple.appleaccountd
1204	0	com.apple.parsecd
-	0	com.apple.mlruntimed
1168	0	com.apple.Dock.agent
-	0	com.apple.parsec-fbf
982	0	com.apple.dmd
1478	0	application.com.apple.ScriptMonitor.<REMOVED>
1010	0	com.apple.transparencyd
1032	0	com.apple.AppSSOAgent
-	0	com.apple.mbuseragent
1017	0	com.apple.security.cloudkeychainproxy3
903	0	com.apple.UserEventAgent-Aqua
941	0	com.apple.followupd
914	0	com.apple.identityservicesd
930	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
1401	0	com.apple.corespotlightservice.<REMOVED>
-	0	com.apple.XProtect.agent.scan
-	0	com.apple.storekitagent
-	0	com.apple.security.DiskUnmountWatcher
926	0	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
946	0	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
913	0	com.apple.backgroundtaskmanagement.agent
-	0	com.apple.cfnetwork.AuthBrokerAgent
1101	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
1044	0	com.apple.BTServer.cloudpairing
968	0	com.apple.coreservices.sharedfilelistd
918	0	com.apple.pboard
-	0	com.apple.nowplayingtouchui
-	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
-	0	com.apple.reversetemplated
-	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
907	0	com.apple.rapportd
1382	0	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
-	0	com.apple.metadata.mdflagwriter
987	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
944	0	com.apple.containermanagerd
1088	0	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
1311	0	application.com.apple.systemevents.<REMOVED>
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
1019	0	com.apple.neagent.<REMOVED>
909	0	com.apple.accountsd
1013	0	com.apple.cdpd
922	0	com.apple.routined
1008	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
954	0	com.apple.BiomeAgent
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
981	0	com.apple.audio.AudioComponentRegistrar
-	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
-	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
974	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
1012	0	com.apple.notificationcenterui.agent
1014	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
1188	0	com.apple.imklaunchagent
-	0	com.apple.imcore.imtransferagent
1036	0	com.apple.mobiletimerd
-	0	com.apple.btsa
1276	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
-	0	com.apple.EscrowSecurityAlert
1119	0	com.apple.MTLAssetUpgraderD
1277	0	com.apple.ptpcamerad
1195	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.dt.previewsviewservice
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
-	0	com.apple.RapportUIAgent
999	0	com.apple.siriknowledged
-	0	com.apple.powerchime
961	0	com.apple.sharingd
-	0	com.apple.seserviced
-	0	com.apple.iCloudUserNotificationsd
1424	0	com.apple.metrickitd
-	0	com.apple.storeassetd
983	0	com.apple.familycircled
-	0	com.apple.FontRegistryUIAgent
-	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
1299	0	com.apple.TextInputSwitcher
1464	0	com.apple.AMPArtworkAgent
1081	0	com.apple.imagent
-	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
1440	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
-	0	com.apple.imautomatichistorydeletionagent
1169	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
1004	0	com.apple.talagent
1027	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.RemoteDesktop.agent
1031	0	com.apple.iCloudNotificationAgent
1112	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
-	0	com.apple.AssistiveControl
969	0	com.apple.icloud.fmfd
-	0	com.apple.mdworker.single.arm64
972	0	com.apple.FileProvider
901	0	com.apple.secd
1034	0	com.apple.hiservices-xpcservice
1462	0	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
994	0	com.apple.assistantd
1234	0	com.apple.studentd
-	0	com.apple.FollowUpUI
1089	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
1148	0	com.apple.uikitsystemapp
